timestamp,elbow_angle,wrist_angle,shoulder_angle,hand_x,hand_y,hand_z,wrist_x,wrist_y,wrist_z,elbow_x,elbow_y,elbow_z,shoulder_x,shoulder_y,shoulder_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z
2025-03-04 16:44:40.370,74.52311659440373,0,61.184127029987195,0,0,0,726,588,0.14779391884803772,600,810,-0.2424195557832718,222,671,-0.30610889196395874,0,0,0,0,0,0
2025-03-04 16:44:40.431,74.68001574157041,0,61.33866502237784,0,0,0,728,585,0.11530016362667084,599,809,-0.26952964067459106,221,671,-0.3215087354183197,0,0,0,0,0,0
2025-03-04 16:44:40.503,74.77773360642624,0,61.36409842871087,0,0,0,728,585,0.069764643907547,599,809,-0.29139670729637146,221,671,-0.33811047673225403,0,0,0,0,0,0
2025-03-04 16:44:40.568,74.69138042583724,0,61.40857123986894,0,0,0,730,580,0.07532943040132523,600,809,-0.2847335636615753,221,671,-0.33500298857688904,0,0,0,0,0,0
2025-03-04 16:44:40.634,74.3744812246761,0,61.46972117071096,0,0,0,731,574,0.08657148480415344,601,809,-0.27732712030410767,223,671,-0.3288855254650116,0,0,0,0,0,0
2025-03-04 16:44:40.699,74.3589441457055,0,61.44697280492285,0,0,0,731,574,0.08390234410762787,600,809,-0.2756229043006897,223,671,-0.32756683230400085,0,0,0,0,0,0
2025-03-04 16:44:40.772,74.30093627068499,0,61.46131707631705,0,0,0,729,576,0.08162739127874374,600,809,-0.27323219180107117,225,672,-0.3244338631629944,0,0,0,0,0,0
2025-03-04 16:44:40.874,74.81374629119178,0,61.691738135464306,0,0,0,726,585,0.09116252511739731,598,809,-0.26812711358070374,225,673,-0.32046589255332947,0,0,0,0,0,0
2025-03-04 16:44:40.971,74.91900689988687,0,61.793254051943386,0,0,0,725,589,0.10079800337553024,598,809,-0.2631438672542572,227,674,-0.32338276505470276,0,0,0,0,0,0
2025-03-04 16:44:41.031,74.94322184460552,0,62.08125118301019,0,0,0,723,591,0.11851216852664948,600,809,-0.25362250208854675,229,674,-0.32060351967811584,0,0,0,0,0,0
2025-03-04 16:44:41.106,74.58845195036844,0,62.06050738899177,0,0,0,723,591,0.11840660125017166,601,809,-0.24497078359127045,233,675,-0.32219064235687256,0,0,0,0,0,0
2025-03-04 16:44:41.199,74.4456054026649,0,62.23202487571096,0,0,0,723,591,0.1694921851158142,603,809,-0.20482449233531952,233,675,-0.294335275888443,0,0,0,0,0,0
2025-03-04 16:44:41.272,74.14157588187729,0,62.53669170621939,0,0,0,724,586,0.19004040956497192,607,808,-0.2075161337852478,233,675,-0.29616960883140564,0,0,0,0,0,0
2025-03-04 16:44:41.334,73.89947768066982,0,62.78762963492955,0,0,0,725,585,0.17344282567501068,609,808,-0.21338073909282684,233,674,-0.29818278551101685,0,0,0,0,0,0
2025-03-04 16:44:41.402,73.63711062673283,0,63.08840764117947,0,0,0,727,583,0.16635513305664062,615,808,-0.2186889350414276,232,674,-0.29891812801361084,0,0,0,0,0,0
2025-03-04 16:44:41.468,72.81563672058233,0,63.4097721744811,0,0,0,728,581,0.1749478429555893,625,808,-0.21754689514636993,235,674,-0.2979825437068939,0,0,0,0,0,0
2025-03-04 16:44:41.536,72.27360379865998,0,63.54705252513081,0,0,0,729,579,0.16833604872226715,629,809,-0.21991068124771118,241,674,-0.30421528220176697,0,0,0,0,0,0
2025-03-04 16:44:41.602,72.5184893902195,0,63.81230153708182,0,0,0,732,570,0.10159831494092941,628,807,-0.2437467873096466,241,675,-0.30449268221855164,0,0,0,0,0,0
2025-03-04 16:44:41.667,72.91527574260274,0,63.662774942696075,0,0,0,733,572,0.11106155067682266,626,807,-0.2434600442647934,242,675,-0.3046231269836426,0,0,0,0,0,0
2025-03-04 16:44:41.737,72.84676312720228,0,63.40143312838748,0,0,0,737,567,0.11335816979408264,627,807,-0.24306823313236237,245,675,-0.3047889769077301,0,0,0,0,0,0
2025-03-04 16:44:41.795,72.68968615129772,0,62.797912574624604,0,0,0,737,571,0.10295876860618591,625,810,-0.2569023072719574,242,675,-0.3082157075405121,0,0,0,0,0,0
2025-03-04 16:44:41.871,72.70351108667124,0,62.25233560994088,0,0,0,738,578,0.052741628140211105,624,812,-0.2755388915538788,241,675,-0.309447705745697,0,0,0,0,0,0
2025-03-04 16:44:41.931,73.06064005770027,0,61.72009143301496,0,0,0,738,580,0.03457914665341377,621,813,-0.28869038820266724,241,676,-0.3121036887168884,0,0,0,0,0,0
2025-03-04 16:44:42.006,72.88569309942629,0,61.3367457980449,0,0,0,740,578,0.093795046210289,622,813,-0.27851831912994385,247,676,-0.3123098909854889,0,0,0,0,0,0
2025-03-04 16:44:42.063,72.73161819892546,0,61.32398068674519,0,0,0,743,579,0.11904259771108627,623,815,-0.26242345571517944,252,678,-0.31226974725723267,0,0,0,0,0,0
2025-03-04 16:44:42.140,73.03828806278561,0,61.448871794527875,0,0,0,745,579,0.08083449304103851,624,815,-0.2781873345375061,251,679,-0.314191609621048,0,0,0,0,0,0
2025-03-04 16:44:42.199,73.20949784101947,0,61.46955224905464,0,0,0,745,580,0.027661647647619247,625,815,-0.30451610684394836,249,679,-0.31693071126937866,0,0,0,0,0,0
2025-03-04 16:44:42.271,72.42897322667478,0,61.34261132960253,0,0,0,748,580,0.04315175861120224,639,815,-0.29884955286979675,253,678,-0.31766921281814575,0,0,0,0,0,0
2025-03-04 16:44:42.331,71.21802898357832,0,61.7469031842783,0,0,0,749,576,0.1190025582909584,650,812,-0.2829088866710663,268,678,-0.3168468177318573,0,0,0,0,0,0
2025-03-04 16:44:42.401,68.89689990590556,0,61.66136897808547,0,0,0,754,573,0.15548081696033478,672,811,-0.2528991401195526,290,678,-0.3108288049697876,0,0,0,0,0,0
2025-03-04 16:44:42.468,66.49160025778276,0,61.96319968676766,0,0,0,762,564,0.31051066517829895,697,811,-0.1398436725139618,317,678,-0.2635550796985626,0,0,0,0,0,0
2025-03-04 16:44:42.535,62.981224668471086,0,60.86346580735634,0,0,0,769,545,0.2545519173145294,730,811,-0.17660804092884064,348,678,-0.2745605707168579,0,0,0,0,0,0
2025-03-04 16:44:42.602,59.8891140584261,0,61.213920431396964,0,0,0,768,528,0.2713746726512909,756,809,-0.15647456049919128,375,678,-0.26710084080696106,0,0,0,0,0,0
2025-03-04 16:44:42.666,60.25202784061906,0,62.68303664188849,0,0,0,780,519,0.27790483832359314,775,802,-0.15798760950565338,398,678,-0.2637988030910492,0,0,0,0,0,0
2025-03-04 16:44:42.736,58.011707571360034,0,62.713563387040566,0,0,0,818,486,0.3485122323036194,834,797,-0.12382079660892487,471,678,-0.26783761382102966,0,0,0,0,0,0
2025-03-04 16:44:42.810,83.265614149002,0,75.2701426954632,0,0,0,993,463,0.3044929802417755,889,753,-0.20467998087406158,489,680,-0.33216363191604614,0,0,0,0,0,0
2025-03-04 16:44:42.902,159.90865879701622,0,117.72820407413606,0,0,0,1193,415,0.10037751495838165,878,588,-0.3813489079475403,539,674,-0.42488017678260803,0,0,0,0,0,0
2025-03-04 16:44:42.972,178.7762671420833,0,129.2169218493928,0,0,0,1287,389,-0.470269113779068,919,537,-0.5579919815063477,579,666,-0.4101985991001129,0,0,0,0,0,0
2025-03-04 16:44:43.075,166.73114298976952,0,123.15507687478255,0,0,0,1279,410,-0.8061291575431824,942,573,-0.7061423659324646,625,665,-0.42146044969558716,0,0,0,0,0,0
2025-03-04 16:44:43.130,157.61819125858037,0,115.21434759197031,0,0,0,1309,422,-0.2989434599876404,971,594,-0.5586863160133362,614,666,-0.4650139808654785,0,0,0,0,0,0
2025-03-04 16:44:43.207,153.85115101229428,0,113.57994779943881,0,0,0,1313,430,-0.3184809982776642,982,607,-0.5716030597686768,639,667,-0.4824204444885254,0,0,0,0,0,0
2025-03-04 16:44:43.263,149.78416796057635,0,112.01823358484891,0,0,0,1315,437,-0.22385655343532562,1010,613,-0.5005486607551575,660,667,-0.44629254937171936,0,0,0,0,0,0
2025-03-04 16:44:43.339,152.325594977694,0,112.29236808444551,0,0,0,1335,437,-0.16866491734981537,1021,609,-0.49119192361831665,657,670,-0.4526329040527344,0,0,0,0,0,0
2025-03-04 16:44:43.397,153.99479869435146,0,112.66049133418153,0,0,0,1341,440,-0.08214803785085678,1019,608,-0.4782938063144684,652,670,-0.4539784789085388,0,0,0,0,0,0
2025-03-04 16:44:43.470,151.84017468280803,0,111.83674645411445,0,0,0,1342,443,-0.11706443876028061,1039,609,-0.4972500205039978,655,671,-0.463287889957428,0,0,0,0,0,0
2025-03-04 16:44:43.531,152.19105039427617,0,111.71395983226616,0,0,0,1345,444,-0.19500313699245453,1031,612,-0.5232763290405273,652,672,-0.46278780698776245,0,0,0,0,0,0
